sr_no,full_name,gender,phone_numbers,state,gre_score,toefl_score,university_ranking_range,sop_score,lor_score,cgpa,not_a_first_gen_applicant,research_years,interest_in_sports,plan_fa,admitted_or_not
807,Lou Wickwar,M,206-637-8823,Washington,297,83,2,2.5,2,7.63,1,1,none,0,0
808,Jamison Goadbie,M,614-889-6145,Ohio,269,97,5,1.5,2,9.22,1,0,football,0,0
809,Daryle Top,M,941-165-0796,Florida,283,115,1,5,2.5,8.35,0,1,football,1,1
810,Cinda Kindon,F,609-551-5726,New Jersey,263,92,4,4,3,7.33,0,0,basketball,1,0
811,Annadiane Fieldstone,F,816-193-4913,Missouri,295,94,1,2.5,3,7.55,1,1,basketball,0,0
812,Fidel Ingree,M,484-921-8406,Pennsylvania,292,89,4,3.5,5,8.23,0,0,football,1,0
813,Baily Legges,M,281-567-5454,Texas,292,110,2,1.5,2,6.22,0,1,none,1,0
814,Patsy Covendon,M,626-241-0880,California,266,112,3,2.5,4.5,6.01,0,1,none,0,1
815,Guss Warham,M,781-103-3999,Massachusetts,274,120,2,3.5,3.5,5.99,1,1,hockey,0,0
816,Deedee Bantham,F,903-388-7607,Texas,299,90,5,2.5,4.5,5.34,1,1,basketball,1,1
817,Sergeant Tremmil,M,801-467-0925,Utah,282,117,2,4,3,6.28,0,1,none,1,1
818,North Ollenbuttel,M,714-177-9799,California,285,94,3,2,5,5.62,0,1,basketball,0,0
819,Fernando Dennerly,M,330-441-7691,Ohio,269,84,2,3,4,5.23,0,0,hockey,0,0
820,Starlin Chiechio,F,205-336-4548,Alabama,269,104,5,3,5,5.88,0,0,football,0,0
821,Sonnie Krelle,M,305-857-3587,Florida,268,114,2,2.5,3.5,5.32,1,0,basketball,1,0
822,Kris Doyle,M,209-266-6442,California,274,108,1,1,4.5,6.32,0,1,football,0,0
823,Elianora Maseres,F,518-570-6601,New York,267,111,4,5,3,6.48,1,1,football,0,1
824,Hinda Tremlett,F,415-774-0284,California,293,104,1,5,4,5.96,1,1,none,0,1
825,Jeremy Lagde,M,478-904-5850,Georgia,278,91,5,1.5,3,6.38,0,1,hockey,0,0
826,Brnaby Abramof,M,504-946-4067,Louisiana,286,83,2,3,2,6.34,1,0,hockey,0,0
827,Shanan Splaven,M,419-155-8905,Ohio,284,113,3,4,4,6.21,1,1,none,1,1
828,Barth Scown,M,217-487-0063,Illinois,291,87,2,3.5,2.5,5.39,0,0,none,0,0
829,Glennis Stebbin,F,215-441-9815,Pennsylvania,265,111,1,3,4.5,7.52,1,1,basketball,1,1
830,Ray Canner,F,518-829-8420,New York,269,108,4,4,2.5,6,1,0,football,1,0
831,Isak Mathwen,M,202-779-7643,District of Columbia,295,92,4,3,5,6.23,0,1,hockey,1,0
832,Nathalia Flecknoe,F,732-161-6713,New Jersey,289,97,5,1,2.5,5.23,1,0,hockey,0,0
833,Ardyce Alexandre,F,801-440-6006,Utah,298,111,5,5,3,5.96,1,0,football,1,0
834,Amy Whitwood,F,225-715-6665,Louisiana,283,97,2,2.5,2,5.98,1,0,football,0,0
835,Roanne Ferrucci,F,214-602-9698,Texas,295,105,3,3,3.5,5.21,0,0,none,1,0
836,Travers Deacock,M,714-542-4865,California,263,96,2,3,4.5,6.23,1,1,none,0,0
837,Ericha Gilburt,F,813-147-5903,Florida,286,108,5,2,2,7.25,1,1,basketball,0,0
838,Vachel Trevear,M,651-569-7296,Minnesota,281,84,2,3,2,8.23,0,0,hockey,0,0
839,Flinn Careswell,M,501-976-9282,Arkansas,279,81,1,4.5,1.5,7.02,1,0,hockey,1,0
840,Shina Neller,F,217-845-4928,Illinois,271,111,4,3,1.5,8.05,0,0,football,0,0
841,Brooke Michal,M,208-967-4540,Idaho,269,80,1,4,2,4.99,0,0,none,1,0
842,Ajay Boyall,F,260-629-0580,Indiana,291,113,5,5,2.5,5.69,0,0,none,1,0
843,Frances Corkitt,F,504-644-4318,Louisiana,262,92,2,3,4,4.89,0,0,basketball,1,0
844,Laurianne Dunn,F,971-517-9748,Oregon,277,120,3,1.5,1.5,5.69,1,1,basketball,1,0
845,Pembroke Mallindine,M,910-878-3209,North Carolina,298,81,2,2,4,6.58,0,0,hockey,1,0
846,Brod Garfirth,M,314-305-2614,Missouri,261,107,5,2.5,2.5,5.36,1,1,basketball,0,1
847,Gisella Pottery,F,509-847-0362,Washington,285,114,2,3.5,5,7.52,1,0,basketball,1,1
848,Judd Duckitt,M,540-222-3446,Virginia,273,119,5,5,3.5,5.38,0,1,basketball,0,0
849,Marjie Koppes,F,510-552-1122,California,264,116,4,2,4.5,5.3,0,1,none,0,0
850,Rustin Artus,M,315-158-9172,New York,274,93,4,1.5,2.5,6.32,0,1,none,0,0
851,Wiatt Coldwell,M,316-925-5999,Kansas,297,94,1,1,2.5,6.85,0,0,basketball,0,0
852,Alexi Owers,F,508-967-1928,Massachusetts,265,119,5,3.5,1,5.99,0,0,none,0,0
853,Neal Keuntje,M,312-895-3094,Illinois,300,84,2,2.5,3.5,5.14,1,1,basketball,1,0
854,Annecorinne Riggeard,F,915-648-1783,Texas,273,87,3,4.5,2,5.23,0,0,football,0,1
855,Farris Breit,M,316-434-6871,Kansas,262,104,2,1,3,6.38,0,1,basketball,1,0
856,Adolf Sweetmore,M,954-200-9200,Florida,297,110,5,3.5,3,6.49,1,1,none,0,0
857,Jeffy Hundell,M,210-611-8478,Texas,282,92,5,2.5,1.5,6.99,0,0,football,0,0
858,Royal Ludvigsen,M,412-496-7259,Pennsylvania,291,118,1,3.5,5,5.81,1,1,hockey,1,1
859,Wade Simond,M,432-450-6762,Texas,281,100,4,2,2.5,5.63,1,0,basketball,1,0
860,Bunnie Vashchenko,F,602-195-8972,Arizona,282,111,2,3.5,1.5,5.95,0,1,none,1,0
861,Caryl Girton,M,310-896-3560,California,266,106,5,2.5,2,5.92,1,0,hockey,0,0
862,Aile Gadeaux,F,803-996-6383,South Carolina,280,85,3,1,4,6.39,0,1,basketball,1,0
863,Wallas Sedgman,M,304-767-9113,West Virginia,266,85,2,2,1.5,6.54,0,1,hockey,1,0
864,Lindsey Strange,M,312-892-9825,Illinois,298,112,1,3,3,6.86,1,1,football,0,1
865,Leanna Taudevin,F,732-292-0918,New Jersey,267,109,4,2.5,1,5.99,1,0,football,0,0
866,Westley Rawsen,M,336-116-9031,North Carolina,272,84,5,2.5,4,5.55,0,0,basketball,0,0
867,Caye Borgnol,F,559-317-4057,California,268,85,2,1.5,1.5,6.94,0,1,none,0,0
868,Arni Quoit,M,212-620-1154,New York,270,117,3,3.5,4.5,6.63,0,0,none,1,0
869,Flem Huntley,M,713-250-8319,Texas,271,100,5,3,4.5,6.39,1,1,none,0,1
870,Luca Geggus,M,805-402-7902,California,267,103,2,1,1,5.81,1,0,none,0,0
871,Spike Cabbell,M,719-384-9416,Colorado,261,98,1,4,4.5,6.14,1,1,basketball,0,1
872,Kayne Leinthall,M,813-827-7412,Florida,290,115,4,4.5,1.5,6.27,0,1,hockey,0,0
873,Emilie Hitscher,F,515-978-2860,Iowa,265,83,5,1,1,6.08,1,1,football,1,0
874,Malynda Keeling,F,404-842-2056,Georgia,268,111,5,2,2.5,5.72,0,0,football,0,0
875,Nicol Verlinde,M,904-751-9766,Florida,267,112,2,3.5,2.5,5.87,1,1,hockey,1,1
876,Birch Doggart,M,414-370-8267,Wisconsin,265,89,3,1,3,6.14,0,1,none,1,0
877,Denys Treadgall,M,916-524-0334,California,267,105,2,3.5,3.5,5.8,1,0,football,0,1
878,Norene Feaviour,F,513-172-6633,Ohio,296,120,2,4,3,5.96,0,1,none,0,1
879,Carmon Bartlam,F,540-757-8050,Virginia,294,98,5,5,4.5,6.28,0,1,hockey,0,1
880,Ban Duran,M,408-168-1957,California,293,87,5,2.5,1,5.86,0,1,football,0,0
881,Noble Frostdick,M,410-396-0630,Maryland,261,82,2,2.5,4,5.73,0,0,hockey,0,0
882,Clementius Brocklehurst,M,214-590-6632,Texas,290,87,3,2,2.5,6.56,0,1,basketball,1,0
883,Con Lucien,M,901-526-6677,Tennessee,261,100,2,3.5,4.5,6.2,0,0,basketball,1,0
884,Minnnie Iaduccelli,F,801-370-1536,Utah,265,91,5,1,4,6.07,0,1,football,1,0
885,Chrissy Vankov,F,281-797-6747,Texas,270,89,2,2,3,5.92,1,0,hockey,0,0
886,Allie Coldbath,F,714-214-3298,California,272,94,5,4,2,5.49,1,1,football,1,0
887,Micah Matuszak,M,202-576-6329,District of Columbia,276,105,2,2,5,5.76,1,1,none,1,0
888,Alena Ring,F,507-145-3270,Minnesota,262,84,1,1.5,2,6.81,0,1,none,1,0
889,Tawsha MacNeilley,F,901-372-7723,Tennessee,263,118,4,3,4,6.3,1,0,hockey,0,1
890,Michaella Ainscow,F,321-337-8043,Florida,267,103,1,2.5,3.5,5.66,0,1,basketball,0,0
891,Diego Flello,M,215-773-8907,Pennsylvania,262,88,1,4.5,2,5.77,1,0,hockey,0,0
892,Philippa Birdwhistle,F,810-704-5492,Michigan,263,111,4,3.5,1,6.42,0,1,football,0,0
893,Van Vian,M,812-257-3589,Indiana,292,86,1,4,3.5,6.81,1,0,basketball,1,0
894,Grannie Powys,M,202-884-9705,District of Columbia,287,81,5,4,2.5,7.17,0,1,football,0,0
895,Nappy Treadger,M,504-408-5861,Louisiana,266,84,2,2.5,2.5,6.65,1,1,basketball,0,0
896,Lombard Welldrake,M,916-675-9710,California,268,86,3,2.5,4,5.47,1,1,none,0,0
897,Leighton Humerstone,M,314-533-8399,Missouri,282,115,2,1.5,2.5,5.22,1,0,hockey,0,0
898,Darrel Beckley,M,941-798-1119,Florida,285,119,1,5,2.5,6.31,1,1,basketball,0,1
899,Bunnie Unstead,F,937-573-5866,Ohio,267,112,4,5,4.5,7.18,1,0,hockey,0,1
900,Bertina Morriarty,F,360-705-0236,Washington,284,117,5,2,4,6.58,1,1,hockey,0,1
901,Willabella Billett,F,205-140-2801,Alabama,285,110,1,2.5,5,6.64,0,1,none,1,0
902,Amos Gidley,M,915-844-6222,Texas,298,101,2,4,1,5.66,0,1,basketball,0,0
903,Terencio Guppy,M,813-237-1684,Florida,291,81,3,4,4,5.93,1,0,basketball,1,0
904,Ado Banting,M,540-447-0313,Virginia,262,103,2,3,1,6.25,0,0,hockey,0,0
905,Gwynne Morrow,F,202-409-0520,District of Columbia,300,110,1,2,3,5.34,0,0,none,0,0
906,Wendye Gitthouse,F,817-626-0907,Texas,266,90,4,5,4,6.66,1,0,none,0,0
907,Ryon Seckom,M,972-578-6126,Texas,278,104,1,5,5,6.73,1,0,none,0,1
908,Gianna Havard,F,571-408-6569,Virginia,273,82,4,2,1.5,6.55,0,1,none,1,0
909,Otes McTerry,M,479-321-5475,Arkansas,293,84,5,3.5,3,5.32,0,0,basketball,1,0
910,Lorry Grindall,F,702-483-7994,Nevada,278,80,5,3.5,4,7.11,0,0,none,0,0
911,Ferdy Bandy,M,225-748-8423,Louisiana,287,81,2,4,4,5.5,1,1,basketball,0,0
912,Moise Hulles,M,813-379-6560,Florida,264,119,1,3.5,3,5.08,1,1,none,0,0
913,Kingsley Bohl,M,805-751-9926,California,286,84,4,4,3,5.34,0,1,hockey,0,0
914,Skipton Narup,M,512-500-5420,Texas,264,111,1,1.5,3.5,6.03,0,0,none,0,0
915,Elset Napleton,F,910-378-9660,North Carolina,296,106,5,1.5,2.5,5.49,0,0,hockey,0,0
916,Averyl Kempstone,F,212-475-9967,New York,278,85,2,3,4,5.13,1,1,football,1,0
917,Lloyd Reef,M,305-967-1348,Florida,300,83,3,2.5,2.5,5.74,0,1,none,0,0
918,Francisco Demoge,M,239-798-8416,Florida,271,103,2,2,4.5,5.57,0,0,none,1,0
919,Pierson Guiton,M,408-645-3957,California,270,96,1,2.5,3.5,6.07,0,1,basketball,0,1
920,Lavina Lafford,F,801-943-6327,Utah,279,119,4,3.5,1.5,5.6,1,0,basketball,1,0
921,Sawyer Kenan,M,702-790-4378,Nevada,282,81,1,2,1,6.64,0,1,football,0,0
922,Charisse Shankster,F,719-510-5245,Colorado,294,89,5,4,2,5.94,0,1,none,1,0
923,Rodd Lamputt,M,920-547-5997,Wisconsin,262,82,2,1.5,1.5,6.91,0,1,basketball,1,0
924,Margie Littefair,F,916-547-2591,California,280,101,3,2,2,6.21,1,0,football,1,0
925,Haskel Langston,M,408-852-1184,California,330,86,2,1,2,5.91,0,0,none,0,0
926,Trev Dobble,M,937-622-6970,Ohio,304,96,5,4,5,5.87,1,1,none,0,1
927,Ravid Tsarovic,M,952-281-1079,Minnesota,302,96,1,5,3,6.79,0,1,none,1,0
928,Tann McKoy,M,916-981-4173,California,313,98,4,1,3,6.69,0,1,hockey,1,0
929,Petey Filipponi,M,225-517-5676,Louisiana,318,110,5,1,1,6.24,0,1,basketball,0,0
930,Anselma Shovel,F,214-767-4908,Texas,301,112,5,2.5,2.5,6.84,1,1,football,0,0
931,Hewett Joel,M,812-127-4391,Indiana,308,80,2,2,1,5.32,0,0,none,0,0
932,Andrus Koppelmann,M,302-266-3266,Delaware,295,112,3,3.5,2,5.17,1,0,none,1,0
933,Cori Wigin,M,937-258-5067,Ohio,306,110,2,2,3.5,6.69,0,0,none,1,0
934,Cherry McNutt,F,718-929-4796,New York,284,120,5,1,3.5,5.03,0,1,basketball,1,1
935,Maximilian Dampier,M,773-703-4298,Illinois,317,102,1,2,3,5.13,1,1,basketball,1,0
936,Benedicta Woodburne,F,203-115-1537,Connecticut,281,119,4,1,3,6.89,0,1,hockey,0,0
937,Celestia Bigham,F,714-797-7830,California,301,104,1,1.5,4.5,6.53,0,0,hockey,1,0
938,Ardene Ketchen,F,973-910-8116,New Jersey,314,102,4,4,4,6.2,1,0,football,0,1
939,Vail Mc Caughen,M,815-617-9359,Illinois,289,104,1,5,4,6.89,1,1,none,0,1
940,Viva Shackleford,F,863-142-6745,Florida,303,100,2,3,4,5.44,0,1,hockey,0,0
941,Cilka Fabb,F,337-991-4431,Louisiana,294,114,3,3.5,1.5,6.89,1,1,none,1,0
942,Shoshanna Georg,F,408-561-6497,California,290,105,2,3,3,7.04,0,1,hockey,1,0
943,Tye Robottham,M,951-567-0817,California,313,109,5,5,1,5.14,0,0,none,1,0
944,Vanna Keohane,F,347-632-9748,New York,286,96,2,2.5,5,6.69,0,1,none,0,0
945,Raimundo Lummasana,M,952-999-1382,Minnesota,294,94,1,1,4,5.52,0,0,basketball,1,0
946,Jaymie Danilovic,M,205-340-5132,Alabama,295,85,4,3.5,1.5,5.78,0,0,hockey,1,0
947,Addi Frankum,F,513-473-9975,Ohio,296,106,1,1,3,5.72,0,1,hockey,1,0
948,Reinhard Spadeck,M,212-233-7874,New York,283,101,5,3,1,6.42,1,1,hockey,0,0
949,Celle Westell,F,817-648-5376,Texas,302,110,2,4.5,4,7.16,1,1,none,0,0
950,Irina Krzysztofiak,F,202-269-2583,District of Columbia,285,107,3,1,4,6.63,1,1,basketball,0,0
951,Jameson Pentland,M,405-983-0593,Oklahoma,291,83,2,1.5,5,5.01,1,0,basketball,1,0
952,Jeannie Oen,F,973-955-0179,New Jersey,288,107,5,3,2.5,6.7,1,0,basketball,1,0
953,Say McEneny,M,602-759-0600,Arizona,282,86,2,2,2,6.93,0,1,basketball,0,0
954,Edgard Brumhead,M,318-276-8422,Louisiana,282,82,1,4.5,3.5,6.84,1,0,football,1,0
955,Prentice Maben,M,410-936-6144,Maryland,280,81,4,4,4,6.99,1,1,none,1,0
956,Yorgo Kitman,M,724-434-6485,Pennsylvania,299,108,1,5,2,7.15,1,0,none,1,1
957,Alphard McNea,M,518-348-5482,New York,316,114,5,1,1,6.79,0,0,basketball,0,0
958,Denni Yuill,F,253-424-8837,Washington,294,112,2,3,4,5.66,0,0,hockey,0,0
959,Lock Richardeau,M,559-767-8421,California,289,98,3,1,2.5,6.19,1,1,football,1,0
960,Lacey Mettricke,F,786-267-9982,Florida,300,84,2,5,4.5,7.18,1,1,hockey,0,1
961,Karen Terzi,F,916-570-0430,California,307,101,3,3,4.5,6.86,0,0,basketball,1,0
962,Carmelina Anderton,F,619-363-2589,California,287,112,5,2,1.5,7.01,1,1,basketball,0,0
963,Kit Goodenough,F,520-974-7432,Arizona,292,114,1,2,1,5.03,1,1,basketball,0,0
964,Xena Di Biasi,F,830-908-0697,Texas,320,83,4,5,1.5,5.72,1,1,football,0,0
965,Sanders Murty,M,918-617-3736,Oklahoma,288,86,1,3.5,5,6.09,1,1,football,1,0
966,Junia Dunning,F,609-135-2789,New Jersey,311,108,5,1,4.5,5.06,1,1,hockey,1,0
967,Hi Kingaby,M,410-346-8299,Maryland,312,105,2,3.5,4,5.79,0,0,football,1,0
968,Cammi Proback,F,713-994-9024,Texas,294,110,3,5,3,5.22,1,0,none,0,0
969,Yuma Hardie,M,410-333-5889,Maryland,310,110,2,2,4.5,6.92,1,0,hockey,1,0
970,Breanne Mayze,F,434-838-3492,North Carolina,306,84,5,4,2.5,6.8,0,1,football,1,0
971,Luciano Sudddard,M,336-236-8850,North Carolina,285,120,4,4,4,6.14,1,1,hockey,1,1
972,Larry Curnucke,M,717-598-5871,Pennsylvania,285,100,1,4.5,4,6.46,1,0,basketball,1,1
973,Chadwick Hinchon,M,281-903-0180,Texas,285,110,4,4.5,3.5,5.68,0,1,football,1,0
974,Elysha Drexel,F,347-757-0282,New York,284,89,1,1.5,3,6.46,1,1,none,0,0
975,Sean Bissell,M,240-843-5074,Maryland,318,115,5,4.5,1,5.47,0,0,football,1,0
976,Truda Plante,F,309-514-0821,Illinois,311,101,2,1,1.5,6.58,1,1,football,1,0
977,Morrie Marc,M,504-883-1863,Louisiana,283,120,3,3.5,5,5.25,0,0,football,1,0
978,Joellen Votier,F,202-564-0068,District of Columbia,319,108,2,3.5,4.5,6.66,1,1,none,1,1
979,Cinda Camolli,F,202-308-2245,District of Columbia,289,92,2,4,4.5,6.93,0,0,none,0,0
980,Ivor Barbour,M,571-362-2828,Virginia,298,82,5,2,4.5,5.68,1,1,none,1,0
981,Rabi Dreossi,M,614-337-8727,Ohio,320,115,5,1,1.5,6.81,1,1,football,0,0
982,Patricio Tease,M,601-640-4202,Mississippi,312,83,5,4.5,4,6.43,1,0,hockey,0,1
983,Anatole Ungerer,M,216-133-6236,Ohio,288,103,2,2,3,5.52,1,1,basketball,0,0
984,Darby O'Criane,M,609-486-0963,New Jersey,314,109,1,1,4,6.37,0,1,football,0,0
985,Meridel Lowdham,F,214-250-3110,Texas,293,80,4,2.5,4.5,6.37,0,1,hockey,1,0
986,Neely Girardini,F,859-101-5267,Kentucky,284,89,1,2,2.5,5.66,1,1,hockey,1,0
987,Franni Vankov,F,812-366-2437,Indiana,293,118,2,3.5,4,5.17,0,1,basketball,1,0
988,Dagmar Taveriner,F,415-219-0800,California,299,89,5,2.5,2.5,6.71,1,0,hockey,0,0
989,Marshal Wickwar,M,202-585-4213,District of Columbia,310,115,2,4,3.5,5.57,1,0,none,1,1
990,Martie Addinall,F,602-954-6720,Arizona,294,111,3,1.5,4,5.07,1,0,football,0,0
991,Lanny Rookwell,M,602-808-0944,Arizona,287,114,3,3.5,4,5.37,1,1,hockey,0,0
992,Barbey Mufford,F,339-505-2826,Massachusetts,314,85,3,1.5,1,7.16,1,1,none,1,0
993,Coraline Winterbotham,F,212-829-2584,New York,284,114,2,2,1.5,5.82,1,1,none,0,0
994,Kennett Krale,M,202-717-9850,District of Columbia,311,97,2,3.5,5,5.2,1,0,football,0,1
995,Adella Oiseau,F,214-332-7857,Texas,305,117,1,2.5,5,6.38,1,0,none,1,1
996,Rem Chatenet,M,727-312-8797,Florida,306,120,4,3,2,6.7,0,0,basketball,1,0
997,Burch Dorbin,M,540-625-4773,Virginia,307,80,1,2.5,4.5,5.58,0,1,hockey,0,0
998,Maye Glenwright,F,501-785-8979,Arkansas,300,103,5,2,3.5,5.5,1,1,football,1,0
999,Riva Lydster,F,202-911-8416,District of Columbia,318,120,2,4,1,7.14,0,1,hockey,1,1
1000,Dewey Geaney,M,732-951-3261,New Jersey,310,98,1,3,4.5,5.78,1,1,basketball,0,1
